Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,AdBirthRate,Alcohol,BasicSanitization,CancerEtc,MedDocs,HALE,HIV,InfantMortality,LifeExpectancy,Malaria,MidwifeNursing,MaternalMortality,NeonatalMortality
Indonesia,111000000,0.41,38.2,325 [297-355],27.77 [24.81-31.28],80.16,,0.6,69.38,26.5,2.74,62.33,No data,23.29 [20.97-25.99],70.61,5.38,12.99,192 [142-264],14.53 [12.79-16.52]
Iran (Islamic Republic of),18692,1.2,15.1,16 [12-21],16.06 [11.45-22.52],89.01,,1.01,88.29,15.1,11.53,65.66,0.06 [0.02-0.14],13.81 [9.84-19.16],76.66,0.21,18.91,17 [14-20],9.96 [6.48-15.1]
Iraq,2107072,0.52,22.9,43 [38-49],29.52 [24.68-35.25],86.56,,0.37,90.74,21.6,,60.8,,24.65 [20.87-28.98],70.29,0.0,16.5,83 [58-116],17.44 [14.43-21.12]
Ireland,5,0.21,25.3,7.3 [6.2-8.4],3.71 [3.54-3.89],96.99,8.6,12.47,91.05,10.5,31.5,70.66,No data,3.18 [3.04-3.34],81.14,,163.7,6 [4-8],2.4 [2.26-2.55]
Israel,231,0.16,26.2,4 [3.5-4.7],3.92 [3.81-4.04],100.0,,3.86,100.0,9.7,34.62,71.84,No data,3.16 [3.07-3.25],81.93,,54.47,3 [3-4],2.09 [1.99-2.19]
Italy,234,0.27,23.8,6.6 [5.6-7.6],3.46 [3.4-3.53],99.38,5.1,7.59,98.77,9.8,38.48,71.56,0.06 [0.02-0.13],2.95 [2.9-3.01],82.21,,57.15,2 [1-2],2.13 [2.06-2.2]
Jamaica,343044,0.21,12.0,4.5 [3.4-5.6],15.62 [10.33-24.25],84.4,54.7,4.19,86.95,14.8,4.15,66.59,0.62 [0.44-1.02],13.43 [8.86-20.53],75.85,,14.51,78 [68-92],11.22 [6.97-18.04]
Japan,11,0.41,23.4,16 [14-19],2.75 [2.7-2.8],98.93,4.1,7.87,99.91,8.6,,73.62,No data,2.01 [1.97-2.05],83.62,,,5 [3-7],0.92 [0.88-0.96]
Jordan,70,0.63,,5.7 [4.4-7.2],17.61 [14.42-21.56],97.78,,0.69,97.53,19.4,28.08,67.59,No data,15.12 [12.41-18.37],77.82,,2.08,48 [34-66],10.36 [8.26-13.13]
Kazakhstan,25,2.56,25.7,81 [52-115],11.82 [11.55-12.09],89.76,31.0,4.66,97.74,28.6,,63.35,0.17 [0.16-0.2],10.54 [10.3-10.78],71.91,0.0,72.94,12 [10-13],5.55 [5.18-5.92]
Kenya,13642040,1.82,12.7,380 [233-564],49.59 [41.62-59.76],48.18,,2.77,29.55,13.3,,56.08,1.31 [0.85-2.05],35.32 [30.6-41.03],64.17,72.17,8.65,353 [268-473],22.71 [18.3-28.25]
Kiribati,33294,2.59,54.2,559 [428-707],57.4 [38.11-85.32],69.08,,0.52,45.36,28.5,,51.62,,44.58 [31.06-62.63],58.2,,,97 [53-162],23.83 [13.04-38.91]
Kuwait,0,0.19,22.6,22 [19-26],8.71 [8.43-8.98],100.0,6.1,0.003,100.0,17.6,26.46,70.23,No data,7.46 [7.22-7.69],81.13,,71.51,11 [8-16],4.91 [4.64-5.21]
Kyrgyzstan,111901,0.69,28.4,136 [116-157],22.33 [21.67-23.06],81.39,39.7,7.59,96.54,26.2,,63.74,0.16 [0.16-0.16],19.89 [19.31-20.53],71.59,0.0,,66 [56-81],14.69 [13.11-16.26]
Lao People's Democratic Republic,2183066,0.92,40.9,182 [118-260],53.61 [43.72-64.73],71.11,94.4,10.05,69.39,27.1,,59.29,0.14 [0.12-0.15],41.99 [35.08-49.47],67.08,22.3,10.5,209 [161-277],24.44 [19.39-30.02]
Latvia,14,0.85,37.3,40 [34-46],4.97 [4.58-5.38],97.88,18.1,12.64,91.42,22.2,31.66,65.76,0.18 [0.11-0.26],4.22 [3.88-4.57],74.8,,48.36,23 [18-30],2.59 [2.32-2.88]
Lebanon,6,0.3,42.6,12 [9.9-13],8.28 [4.59-14.36],92.26,,1.65,95.36,17.9,21.03,65.67,0.03 [0.02-0.06],7.08 [3.92-12.36],75.98,,15.42,29 [22-38],4.81 [2.29-8.94]
Lesotho,523534,3.16,28.0,780 [484-1140],94.06 [74.92-118.4],59.79,,4.8,39.06,26.6,,41.64,8.13 [7-9.3],71.88 [58.69-88.12],47.67,,,574 [420-799],43.39 [33.7-55.83]
Liberia,3812536,1.81,9.1,308 [199-440],90.96 [78.6-104.9],60.81,150.3,5.7,16.69,17.2,0.38,52.47,0.64 [0.47-0.9],66.12 [58.26-74.99],61.17,347.0,1.01,691 [518-949],33.03 [27.72-39.37]
Libya,1640,0.51,,40 [26-57],13.32 [9.63-18.37],97.64,,0.029,99.86,19.7,18.94,64.35,0.1 [0.07-0.13],11.41 [8.24-15.74],74.6,,,70 [31-158],7.49 [4.89-11.2]
Lithuania,42,0.77,28.5,55 [47-63],4.94 [4.6-5.3],90.72,14.1,15.38,92.27,22.2,42.99,65.28,0.09 [0.08-0.11],4.02 [3.74-4.32],74.38,,79.03,9 [6-13],2.33 [2.07-2.6]
Luxembourg,0,0.1,22.9,6.1 [5.2-7],2.9 [2.48-3.37],100.0,5.6,13.18,97.61,9.6,29.22,71.53,No data,2.37 [2.03-2.75],82.31,,123.3,5 [3-8],1.53 [1.27-1.84]
Madagascar,21298533,3.33,30.7,233 [151-333],57.87 [49.37-67.46],34.78,,1.88,9.74,23.1,,56.3,0.19 [0.15-0.23],40.66 [35.76-46.07],64.19,97.32,,363 [256-510],21.81 [18.24-25.95]
Malawi,11426323,2.08,14.3,197 [106-316],53.76 [43.6-64.98],63.31,137.6,3.62,25.58,16.3,,54.89,2.77 [2.5-3.05],37.31 [31.49-43.49],63.04,217.0,,370 [269-517],22.82 [18.16-28.4]
Malaysia,174457,0.49,22.8,90 [77-103],8.05 [7.9-8.21],89.93,11.8,0.85,99.56,17.3,15.36,65.78,0.17 [0.15-0.19],6.89 [6.76-7.03],74.95,0.2,33.6,30 [25-35],4.2 [3.85-4.55]
