Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,Alcohol,BasicSanitization,CancerEtc,HALE,InfantMortality,LifeExpectancy,MaternalMortality,NeonatalMortality,BMI30Plus
Philippines,43430927,0.25,25.8,550.0,29.83,88.68,6.7,74.26,26.9,61.91,23.48,70.3,127.0,14.42,6.2
Poland,59,0.26,28.1,19.0,4.85,98.15,11.63,97.69,19.3,68.03,4.17,77.29,2.0,2.9,22.7
Portugal,20,0.26,27.3,23.0,3.62,100.0,11.88,99.44,11.2,70.49,2.96,80.89,9.0,2.1,20.4
Qatar,26,0.43,14.2,24.0,7.83,99.69,1.62,100.0,15.4,66.44,6.7,76.41,9.0,3.97,34.5
Republic of Korea,257,0.53,23.8,79.0,3.51,99.56,10.04,100.0,8.3,72.03,3.0,82.2,12.0,1.63,4.5
Republic of Moldova,0,1.22,25.0,102.0,15.61,82.08,11.87,75.35,27.5,62.86,13.43,71.13,22.0,11.61,18.5
The former Yugoslav Republic of Macedonia,4,0.36,,17.0,12.97,90.58,5.93,98.14,20.7,65.33,11.38,73.73,8.0,9.59,
Romania,26,0.4,27.5,82.0,9.13,100.0,11.64,82.81,21.5,66.28,7.64,74.82,21.0,4.29,22.1
Russian Federation,6,1.78,29.0,67.0,8.23,91.65,12.47,89.64,25.9,62.67,7.05,71.3,18.0,3.87,22.8
Rwanda,5065110,2.51,14.2,61.0,41.49,51.22,9.26,64.24,18.3,58.87,30.88,67.69,275.0,17.86,5.6
Saint Kitts and Nevis,5,,,4.1,16.9,,8.88,,,,14.13,,,11.3,22.3
Saint Lucia,33729,0.18,,9.0,20.95,97.82,9.97,88.37,19.0,65.25,18.6,75.01,115.0,12.61,19.1
Saint Vincent and the Grenadines,13,0.17,,7.4,16.76,95.15,8.46,87.18,22.3,63.51,15.22,72.47,64.0,10.58,23.1
Samoa,61325,0.5,30.5,11.0,16.87,96.25,2.59,98.07,20.9,61.9,14.5,70.04,45.0,9.28,46.7
