Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,AdBirthRate,Alcohol,BasicSanitization,CancerEtc,MedDocs,HALE,HIV,InfantMortality,LifeExpectancy,Malaria,MidwifeNursing,MaternalMortality,NeonatalMortality
Poland,59,0.26,28.1,19,4.85,98.15,12.3,11.63,97.69,19.3,23.25,68.03,No data,4.17,77.29,,57.8,2,2.9
Portugal,20,0.26,27.3,23,3.62,100,8.3,11.88,99.44,11.2,47.49,70.49,No data,2.96,80.89,,65.32,9,2.1
Qatar,26,0.43,14.2,24,7.83,99.69,,1.62,100,15.4,,66.44,No data,6.7,76.41,,,9,3.97
Republic of Korea,257,0.53,23.8,79,3.51,99.56,1.4,10.04,100,8.3,22.49,72.03,No data,3,82.2,0.18,59.84,12,1.63
Republic of Moldova,0,1.22,25,102,15.61,82.08,,11.87,75.35,27.5,24.84,62.86,0.28,13.43,71.13,,50.04,22,11.61
The former Yugoslav Republic of Macedonia,4,0.36,,17,12.97,90.58,16.2,5.93,98.14,20.7,28.74,65.33,No data,11.38,73.73,,37.92,8,9.59
Romania,26,0.4,27.5,82,9.13,100,35.3,11.64,82.81,21.5,,66.28,0.04,7.64,74.82,,,21,4.29
Russian Federation,6,1.78,29,67,8.23,91.65,24,12.47,89.64,25.9,37.49,62.67,No data,7.05,71.3,,89.66,18,3.87
Rwanda,5065110,2.51,14.2,61,41.49,51.22,,9.26,64.24,18.3,1.13,58.87,0.58,30.88,67.69,342,9.88,275,17.86
Saint Kitts and Nevis,5,,,4.1,16.9,,,8.88,,,26.76,,,14.13,,,42.19,,11.3
Saint Lucia,33729,0.18,,9,20.95,97.82,,9.97,88.37,19,,65.25,,18.6,75.01,,,115,12.61
Saint Vincent and the Grenadines,13,0.17,,7.4,16.76,95.15,57,8.46,87.18,22.3,,63.51,,15.22,72.47,,95.05,64,10.58
Samoa,61325,0.5,30.5,11,16.87,96.25,,2.59,98.07,20.9,,61.9,,14.5,70.04,,,45,9.28
San Marino,0,,,0,1.99,100,,,100,,,,,1.77,,,,,0.93
Sao Tome and Principe,199686,0.89,5.5,156,34.69,75.72,,7.19,41.36,18.6,3.16,60.95,,26.75,69.6,10.32,22.17,130,15.69
Saudi Arabia,1496,0.66,16.6,12,8.43,99.69,,0.2,99.8,16.5,,63.2,No data,7.22,73.15,0.033,,17,4.69
Senegal,11849373,2.38,9.8,123,52.78,66.61,,0.73,50.09,18.4,2.07,58.17,0.11,36.4,67.2,69.8,1.92,346,23.96
Serbia,0,0.35,41.3,21,6.28,84.09,16.4,8.7,97.64,20.1,24.6,66.44,0.02,5.47,75.21,,76.17,13,3.95
Seychelles,0,0.59,21.7,9.7,14.76,96.25,58.3,18.35,100,21.3,,63.98,,12.7,73.2,,,54,8.98
Sierra Leone,7500446,4.15,21.8,307,138.3,46.9,139.4,5.63,14.94,30,,49.7,0.81,94.17,56.94,403.7,,1180,34.28
